id,user_id,flight_id,booking_reference,passenger_name,passenger_email,passenger_phone,departure_place,arrival_place,num_passengers,ticket_class,price,seat_number,status,created_at
1,76,3027,TUDEMO07D176,John Doe 74,user74@proton.me,+216 85586136,Enfidha,Tripoli,3,business,1296.0749999999998,,confirmed,2025-05-20 00:00:00.000000
2,198,2072,TUDEMO911BD8,John Doe 196,user196@proton.me,+216 64433400,Tunis,Paris,1,business,440.7,,confirmed,2025-11-29 00:00:00.000000
3,22,1319,TUDEMOB61598,John Doe 20,user20@proton.me,+216 50484409,Sfax,Munich,3,economy,468.48,,confirmed,2025-07-28 00:00:00.000000
4,12,3547,TUDEMOC409A8,John Doe 10,user10@proton.me,+216 90881945,Djerba,Lyon,1,business,361.725,,confirmed,2025-05-19 00:00:00.000000
5,118,3961,TUDEMO712516,John Doe 116,user116@yahoo.com,+216 38155765,Enfidha,Nice,2,economy,346.98,,confirmed,2025-09-05 00:00:00.000000
6,38,1789,TUDEMO1CCAAF,John Doe 36,user36@outlook.com,+216 62416717,Djerba,Paris,1,premium,217.15500000000003,,confirmed,2025-09-30 00:00:00.000000
7,90,2268,TUDEMO216F64,John Doe 88,user88@outlook.com,+216 96561996,Djerba,Abu Dhabi,1,business,1259.7,,confirmed,2025-08-18 00:00:00.000000
8,40,4049,TUDEMOF23810,John Doe 38,user38@proton.me,+216 74884862,Sfax,Doha,1,business,447.725,,confirmed,2025-07-11 00:00:00.000000
9,38,2885,TUDEMO26250D,John Doe 36,user36@outlook.com,+216 62416717,Tunis,Marseille,1,premium,251.21999999999997,,confirmed,2025-06-18 00:00:00.000000
10,149,2110,TUDEMO6F29B8,John Doe 147,user147@proton.me,+216 76379658,Sfax,Marseille,2,business,751.1,,confirmed,2025-10-31 00:00:00.000000
11,149,4840,TUDEMO9AD830,John Doe 147,user147@proton.me,+216 76379658,Enfidha,Milan,1,economy,165.16,,confirmed,2025-09-02 00:00:00.000000
12,171,2987,TUDEMO70862F,John Doe 169,user169@proton.me,+216 32346295,Tunis,Venice,1,business,340.325,,confirmed,2025-08-17 00:00:00.000000
13,183,3500,TUDEMO58DBED,John Doe 181,user181@proton.me,+216 54038024,Monastir,Algiers,1,premium,217.44,,confirmed,2025-06-24 00:00:00.000000
